covariate,species,avg_importance,covariate_long,attribute,radius_m
ch_edaphic_eivdescombes_pixel_d_1500,Sedum album,0.138616335613454,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Spiranthes spiralis,0.241225441534338,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Telephium imperati,0.286266648492658,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Rumex thyrsiflorus,0.052207078305728,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Orthotrichum rogeri,0.399515102674296,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Steccherinum bourdotii,0.200511414891554,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Gloeoporus dichrous,0.414232639493114,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Balea perversa,0.310311308908629,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Cortinarius trivialis,0.218888534268171,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Pseudocrossidium revolutum,0.174178344971614,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Aster amellus,0.300387012253726,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Misopates orontium,0.294887471157605,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Flammulaster carpophilus,0.193911903577487,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Granaria illyrica,0.241486123284492,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Molopospermum peloponnesiacum,0.32337589646478,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Bryum alpinum,0.154207427569646,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Carex ericetorum,0.157262477244387,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Coronilla coronata,0.178401119098111,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Peucedanum ostruthium,0.0933990582073435,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Orcula dolium,0.11273865221535,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Pisum sativum,0.183475519658669,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Didymodon tophaceus,0.145152124171825,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Viola kitaibeliana,0.157568952121807,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Artemisia absinthium,0.183204854051971,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Nigella arvensis,0.231557331273267,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Ballota nigra meridionalis,0.127495401399115,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Pyrola chlorantha,0.206173868384142,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Orchis simia,0.161744054009453,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Nemania serpens,0.328811715932828,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Pinus nigra,0.124683154916881,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Hygrophorus latitabundus,0.0994809396042883,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Sedum anacampseros,0.282439051028851,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Anagallis minima,0.177201814317927,soil aeration,"",1500
